timestamp,city,temperature,humidity
2024-03-15 00:00:00,Marrakech,14.2,62
2024-03-15 00:00:00,Marrakech,14.2,62
2024-03-15 00:00:00,Casablanca,13.1,75
2024-03-15 00:00:00,Rabat,12.8,78
2024-03-15 00:00:00,Tanger,11.5,82
2024-03-15 01:00:00,Marrakech,13.8,63
2024-03-15 01:00:00,Casablanca,12.7,76
2024-03-15 01:00:00,Rabat,,79
2024-03-15 01:00:00,Tanger,11.1,83
2024-03-15 02:00:00,Marrakech,13.3,64
2024-03-15 02:00:00,Casablanca,12.4,77
2024-03-15 02:00:00,Rabat,12.1,80
2024-03-15 02:00:00,Tanger,10.8,
2024-03-15 03:00:00,Marrakech,12.9,65
2024-03-15 03:00:00,Casablanca,100.3,78
2024-03-15 03:00:00,Rabat,11.8,81
2024-03-15 03:00:00,Tanger,10.5,84
2024-03-15 04:00:00,Marrakech,12.5,66
2024-03-15 04:00:00,Casablanca,11.8,78
2024-03-15 04:00:00,Rabat,11.4,82
2024-03-15 04:00:00,Tanger,,85
2024-03-15 05:00:00,Marrakech,12.1,67
2024-03-15 05:00:00,Casablanca,11.5,79
2024-03-15 05:00:00,Rabat,11.1,82
2024-03-15 05:00:00,Tanger,10.1,86
2024-03-15 06:00:00,Marrakech,12.8,66
2024-03-15 06:00:00,Casablanca,11.9,78
2024-03-15 06:00:00,Rabat,11.5,81
2024-03-15 06:00:00,Tanger,10.4,85
2024-03-15 07:00:00,Marrakech,15.2,63
2024-03-15 07:00:00,Casablanca,13.4,75
2024-03-15 07:00:00,Rabat,,79
2024-03-15 07:00:00,Tanger,12.1,82
2024-03-15 08:00:00,Marrakech,18.7,59
2024-03-15 08:00:00,Casablanca,15.6,72
2024-03-15 08:00:00,Rabat,15.1,76
2024-03-15 08:00:00,Tanger,14.3,79
2024-03-15 09:00:00,Marrakech,22.1,54
2024-03-15 09:00:00,Casablanca,17.8,68
2024-03-15 09:00:00,Rabat,17.2,72
2024-03-15 09:00:00,Tanger,16.5,75
2024-03-15 10:00:00,Marrakech,25.4,49
2024-03-15 10:00:00,Casablanca,19.5,64
2024-03-15 10:00:00,Rabat,18.9,68
2024-03-15 10:00:00,Tanger,18.1,71
2024-03-15 11:00:00,Marrakech,27.9,45
2024-03-15 11:00:00,Casablanca,-15.2,65
2024-03-15 11:00:00,Rabat,20.3,65
2024-03-15 11:00:00,Tanger,19.4,68
2024-03-15 12:00:00,Marrakech,30.1,41
2024-03-15 12:00:00,Casablanca,21.7,62
2024-03-15 12:00:00,Rabat,21.2,62
2024-03-15 12:00:00,Tanger,20.5,66
2024-03-15 12:00:00,Casablanca,21.7,62
2024-03-15 13:00:00,Marrakech,31.5,39
2024-03-15 13:00:00,Casablanca,22.4,61
2024-03-15 13:00:00,Rabat,21.8,61
2024-03-15 13:00:00,Tanger,21.0,65
2024-03-15 14:00:00,Marrakech,32.2,38
2024-03-15 14:00:00,Casablanca,22.9,60
2024-03-15 14:00:00,Rabat,22.1,60
2024-03-15 14:00:00,Tanger,21.3,64
2024-03-15 15:00:00,Marrakech,32.8,37
2024-03-15 15:00:00,Casablanca,23.1,59
2024-03-15 15:00:00,Rabat,22.4,59
2024-03-15 15:00:00,Tanger,21.5,63
2024-03-15 16:00:00,Marrakech,31.9,38
2024-03-15 16:00:00,Casablanca,22.8,60
2024-03-15 16:00:00,Rabat,,60
2024-03-15 16:00:00,Tanger,21.2,64
2024-03-15 17:00:00,Marrakech,30.1,40
2024-03-15 17:00:00,Casablanca,21.9,62
2024-03-15 17:00:00,Rabat,21.1,63
2024-03-15 17:00:00,Tanger,145.7,65
2024-03-15 18:00:00,Marrakech,27.3,44
2024-03-15 18:00:00,Casablanca,20.4,65
2024-03-15 18:00:00,Rabat,19.8,67
2024-03-15 18:00:00,Tanger,19.1,68
2024-03-15 19:00:00,Marrakech,24.8,48
2024-03-15 19:00:00,Casablanca,18.9,68
2024-03-15 19:00:00,Rabat,18.3,70
2024-03-15 19:00:00,Tanger,17.7,72
2024-03-15 20:00:00,Marrakech,22.1,52
2024-03-15 20:00:00,Casablanca,17.6,70
2024-03-15 20:00:00,Rabat,17.1,72
2024-03-15 20:00:00,Tanger,16.5,74
2024-03-15 21:00:00,Marrakech,19.7,56
2024-03-15 21:00:00,Casablanca,16.4,72
2024-03-15 21:00:00,Rabat,15.9,74
2024-03-15 21:00:00,Tanger,15.3,76
2024-03-15 21:00:00,Marrakech,19.7,56
2024-03-15 22:00:00,Marrakech,17.8,59
2024-03-15 22:00:00,Casablanca,15.5,73
2024-03-15 22:00:00,Rabat,15.1,75
2024-03-15 22:00:00,Tanger,14.6,78
2024-03-15 22:00:00,Rabat,15.1,158
2024-03-15 23:00:00,Marrakech,16.1,61
2024-03-15 23:00:00,Casablanca,14.3,75
2024-03-15 23:00:00,Rabat,,76
2024-03-15 23:00:00,Tanger,13.4,80
2024-03-15 10:30:00,Marrakech,26.1,47
2024-03-15 14:45:00,Casablanca,23.0,-5
2024-03-15 17:15:00,Rabat,20.5,999
2024-03-15 08:00:00,Tanger,14.3,79
